# MemRadar Price Index: monthly price levels by segment
# Lines starting with # are notes, not data. pandas: read_csv(url, comment='#'). R: read.csv(url, comment.char='#'). DuckDB: a saved copy reads as is; reading from the URL needs SET force_download=true first. Spreadsheets show these lines as text rows above the data.
#
# WHAT THIS IS: one row per segment per month. median_price_usd is the median retail price across the products MemRadar tracked that month. median_usd_per_gb is the median of each product's price divided by its total capacity (a 2x16GB kit is 32GB). product_count is how many products the row is computed over.
#
# THESE ARE MONTHLY PRICE LEVELS, NOT A MEASURE OF CHANGE. A change computed between two rows of this file will NOT equal the MemRadar Price Index for the same period, and when measured in September 2026 it differed from the index by as much as 44 percentage points. The Price Index compares each product with itself; this file compares whichever products were tracked in each month. For how much prices changed over a period, cite the Price Index at memradar.com/price-index/
#
# SURVIVORSHIP: the tracked catalog was assembled in July 2026, so historical rows contain only products still sold in 2026. They describe those products, not the whole market as it stood at the time.
#
# METHOD: only real price observations are used; days a product had no offer are excluded. Each product contributes one value per month (the median of its daily prices), so products observed more often do not outweigh the rest. A segment's series begins at the first month from which it never falls below 10 products; use product_count to apply a stricter bar. The current month is excluded until it is complete. Full methodology: memradar.com/methodology/
#
# SEGMENTS: ddr5 and ddr4 are memory kits and modules; nvme_ssd and sata_ssd are solid state drives. A drive is classed as SATA first, so an M.2 SATA drive counts as sata_ssd.
#
# SOURCES: Amazon price history licensed from Keepa. These figures are medians computed by MemRadar from that history, not the raw licensed data. Newegg prices are not included: MemRadar records Newegg as a current price only and holds no Newegg history.
#
# Generated 2026-09-20. Regenerated daily.
# Source: MemRadar Memory Price Index, memradar.com/price-index/
segment,month,median_price_usd,median_usd_per_gb,product_count
ddr4,2024-09,47.72,1.9852,24
ddr4,2024-10,44.99,1.9838,28
ddr4,2024-11,42.99,1.8907,20
ddr4,2024-12,36.99,1.7494,15
ddr4,2025-01,38.24,1.9138,21
ddr4,2025-02,42.99,1.7650,21
ddr4,2025-03,44.99,1.4544,11
ddr4,2025-04,39.99,1.7494,17
ddr4,2025-05,44.99,1.7105,22
ddr4,2025-06,43.03,2.0728,28
ddr4,2025-07,51.34,2.3803,22
ddr4,2025-08,53.49,2.6784,23
ddr4,2025-09,58.99,2.5934,27
ddr4,2025-10,74.84,3.6714,28
ddr4,2025-11,93.66,5.1244,28
ddr4,2025-12,119.99,6.0153,31
ddr4,2026-01,142.49,7.0606,29
ddr4,2026-02,167.49,7.7261,28
ddr4,2026-03,178.49,8.0744,28
ddr4,2026-04,203.99,7.9953,27
ddr4,2026-05,169.98,7.8106,25
ddr4,2026-06,144.99,7.2919,31
ddr4,2026-07,157.26,6.8744,35
ddr4,2026-08,157.26,6.8609,35
nvme_ssd,2022-08,149.74,0.1238,10
nvme_ssd,2022-09,134.99,0.1074,11
nvme_ssd,2022-10,138.06,0.1123,10
nvme_ssd,2022-11,169.99,0.1194,16
nvme_ssd,2022-12,129.19,0.1001,14
nvme_ssd,2023-01,134.99,0.0903,15
nvme_ssd,2023-02,138.49,0.0868,16
nvme_ssd,2023-03,154.75,0.0835,16
nvme_ssd,2023-04,134.99,0.0879,19
nvme_ssd,2023-05,125.99,0.0806,21
nvme_ssd,2023-06,124.99,0.0776,18
nvme_ssd,2023-07,109.99,0.0654,23
nvme_ssd,2023-08,102.74,0.0614,24
nvme_ssd,2023-09,109.92,0.0660,24
nvme_ssd,2023-10,119.99,0.0696,29
nvme_ssd,2023-11,115.00,0.0732,30
nvme_ssd,2023-12,119.99,0.0781,33
nvme_ssd,2024-01,123.99,0.0830,35
nvme_ssd,2024-02,140.31,0.0821,33
nvme_ssd,2024-03,134.42,0.0798,34
nvme_ssd,2024-04,130.00,0.0810,31
nvme_ssd,2024-05,124.93,0.0806,35
nvme_ssd,2024-06,137.41,0.0855,36
nvme_ssd,2024-07,129.99,0.0781,38
nvme_ssd,2024-08,138.24,0.0785,43
nvme_ssd,2024-09,128.99,0.0776,45
nvme_ssd,2024-10,134.99,0.0757,49
nvme_ssd,2024-11,132.34,0.0752,47
nvme_ssd,2024-12,132.99,0.0781,53
nvme_ssd,2025-01,134.99,0.0812,46
nvme_ssd,2025-02,132.99,0.0745,47
nvme_ssd,2025-03,146.97,0.0763,51
nvme_ssd,2025-04,149.99,0.0763,57
nvme_ssd,2025-05,139.99,0.0741,53
nvme_ssd,2025-06,129.55,0.0732,59
nvme_ssd,2025-07,129.99,0.0719,60
nvme_ssd,2025-08,129.99,0.0732,59
nvme_ssd,2025-09,122.99,0.0684,63
nvme_ssd,2025-10,135.99,0.0732,71
nvme_ssd,2025-11,147.16,0.0850,73
nvme_ssd,2025-12,195.07,0.1138,76
nvme_ssd,2026-01,237.00,0.1465,77
nvme_ssd,2026-02,286.97,0.1644,78
nvme_ssd,2026-03,289.99,0.1709,76
nvme_ssd,2026-04,349.99,0.1926,71
nvme_ssd,2026-05,325.76,0.1735,74
nvme_ssd,2026-06,279.99,0.1727,69
nvme_ssd,2026-07,277.98,0.1650,82
nvme_ssd,2026-08,287.98,0.1660,81
sata_ssd,2021-07,203.30,0.1709,13
sata_ssd,2021-08,184.65,0.1733,12
sata_ssd,2021-09,181.52,0.1847,11
sata_ssd,2021-10,170.43,0.1562,13
sata_ssd,2021-11,185.16,0.1381,12
sata_ssd,2021-12,179.99,0.1269,13
sata_ssd,2022-01,193.51,0.1400,13
sata_ssd,2022-02,186.43,0.1266,14
sata_ssd,2022-03,189.51,0.1360,13
sata_ssd,2022-04,198.37,0.1192,12
sata_ssd,2022-05,204.50,0.1198,10
sata_ssd,2022-06,174.99,0.1042,14
sata_ssd,2022-07,149.99,0.1095,14
sata_ssd,2022-08,142.49,0.1017,14
sata_ssd,2022-09,156.81,0.1018,14
sata_ssd,2022-10,134.28,0.1010,16
sata_ssd,2022-11,110.99,0.0980,15
sata_ssd,2022-12,117.51,0.0905,13
sata_ssd,2023-01,109.72,0.0902,16
sata_ssd,2023-02,106.43,0.0951,14
sata_ssd,2023-03,92.00,0.0898,15
sata_ssd,2023-04,87.30,0.0671,17
sata_ssd,2023-05,74.37,0.0638,18
sata_ssd,2023-06,70.74,0.0537,20
sata_ssd,2023-07,65.97,0.0536,22
sata_ssd,2023-08,63.99,0.0534,21
sata_ssd,2023-09,67.49,0.0635,20
sata_ssd,2023-10,67.99,0.0566,20
sata_ssd,2023-11,77.21,0.0578,20
sata_ssd,2023-12,88.14,0.0604,24
sata_ssd,2024-01,104.92,0.0720,24
sata_ssd,2024-02,105.99,0.0684,23
sata_ssd,2024-03,109.99,0.0701,22
sata_ssd,2024-04,101.99,0.0823,19
sata_ssd,2024-05,104.44,0.0817,23
sata_ssd,2024-06,106.97,0.0860,22
sata_ssd,2024-07,105.88,0.0793,23
sata_ssd,2024-08,99.99,0.0779,23
sata_ssd,2024-09,99.99,0.0758,21
sata_ssd,2024-10,102.49,0.0796,20
sata_ssd,2024-11,99.99,0.0868,19
sata_ssd,2024-12,99.57,0.0913,21
sata_ssd,2025-01,98.81,0.0965,18
sata_ssd,2025-02,97.34,0.0708,19
sata_ssd,2025-03,96.95,0.0687,22
sata_ssd,2025-04,100.99,0.0635,23
sata_ssd,2025-05,102.25,0.0791,25
sata_ssd,2025-06,104.49,0.0830,27
sata_ssd,2025-07,99.51,0.0907,25
sata_ssd,2025-08,94.99,0.0830,25
sata_ssd,2025-09,97.49,0.0841,27
sata_ssd,2025-10,104.99,0.0746,29
sata_ssd,2025-11,122.00,0.0855,28
sata_ssd,2025-12,169.00,0.1007,31
sata_ssd,2026-01,209.97,0.1248,31
sata_ssd,2026-02,215.49,0.1694,30
sata_ssd,2026-03,221.58,0.1758,28
sata_ssd,2026-04,234.50,0.2334,27
sata_ssd,2026-05,261.25,0.2243,29
sata_ssd,2026-06,229.46,0.2077,30
sata_ssd,2026-07,229.41,0.1587,34
sata_ssd,2026-08,232.49,0.1587,34
